code,label,split,project
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """". $tainted . """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """". $tainted . """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """". $tainted . """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """". $tainted . """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = """"; $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
"<?php $array = array(); $array[] = '' ; $array[] = $_GET[''] ; $array[] = '' ; $tainted = $array[1] ; $tainted += 0.0 ; $query = sprintf("""", $tainted); $conn = mysql_connect('', '', ''); mysql_select_db('') ; echo """". $query ."""" ; $res = mysql_query($query); while($data =mysql_fetch_array($res)){ print_r($data) ; echo """" ; } mysql_close($conn); ?>",0,none,safe
